fp,id,datasource_name,name,schema_name,title,description,name_col,text_info
3254903795672738723,639,[Presto] Education,locale_lu,ed_stats,Locale Lookup,,locale_desc locale_id locale,[Presto] Education locale_lu ed_stats Locale Lookup locale_desc locale_id locale
5955604996812906401,4,Healthcare DB 1,census_data1,census,,,fips pst045213 pst045212 pst040210 pst120213 pst120212 pop010210 age135212 age295212 age775212 sex255212 rhi125212 rhi225212 rhi325212 rhi425212 rhi525212 rhi625212 rhi725212 rhi825212 pop715212 pop645212 pop815212 edu635212 edu685212 vet605212 lfe305212 hsg010212 hsg445212 hsg096212 hsg495212 hsd410212 hsd310212 inc910212 inc110212 pvy020212 bza010211 bza110211 bza115211 nes010211 sbo001207 sbo315207 sbo115207 sbo215207 sbo515207 sbo415207 sbo015207 man450207 wtn220207 rtn130207 rtn131207 afn120207 bps030212 lnd110210 pop060210,Healthcare DB 1 census_data1 census  fips pst045213 pst045212 pst040210 pst120213 pst120212 pop010210 age135212 age295212 age775212 sex255212 rhi125212 rhi225212 rhi325212 rhi425212 rhi525212 rhi625212 rhi725212 rhi825212 pop715212 pop645212 pop815212 edu635212 edu685212 vet605212 lfe305212 hsg010212 hsg445212 hsg096212 hsg495212 hsd410212 hsd310212 inc910212 inc110212 pvy020212 bza010211 bza110211 bza115211 nes010211 sbo001207 sbo315207 sbo115207 sbo215207 sbo515207 sbo415207 sbo015207 man450207 wtn220207 rtn130207 rtn131207 afn120207 bps030212 lnd110210 pop060210
4854121370111223083,5,Healthcare DB 1,fips_lkp,census,,,geo_code name state is_state,Healthcare DB 1 fips_lkp census  geo_code name state is_state
1102617551606199361,12,Healthcare DB 1,test7,dac_test,,,dac_test_id,Healthcare DB 1 test7 dac_test  dac_test_id
7536640104773068924,11,Healthcare DB 1,test6,dac_test,,,dac_test_id,Healthcare DB 1 test6 dac_test  dac_test_id
5449472830251243605,10,Healthcare DB 1,test5,dac_test,,,dac_test_id,Healthcare DB 1 test5 dac_test  dac_test_id
3865375430340558972,18,Healthcare DB 1,test7,dac_test_2,,,dac_test_id,Healthcare DB 1 test7 dac_test_2  dac_test_id
3911378879348292116,17,Healthcare DB 1,test6,dac_test_2,,,dac_test_id,Healthcare DB 1 test6 dac_test_2  dac_test_id
7214418374864664363,16,Healthcare DB 1,test5,dac_test_2,,,dac_test_id,Healthcare DB 1 test5 dac_test_2  dac_test_id
3683150441042251670,15,Healthcare DB 1,test3,dac_test_2,,,dac_test_id,Healthcare DB 1 test3 dac_test_2  dac_test_id
566328695031025938,14,Healthcare DB 1,test2,dac_test_2,,,dac_test_id,Healthcare DB 1 test2 dac_test_2  dac_test_id
